iso3c,country,gtap11,gtap11_name,gtap12,gtap12_name
ABW,Aruba,xcb,Caribbean,xcb,Caribbean
AFG,Afghanistan,xsa,Rest of South Asia,xsa,Rest of South Asia
AGO,Angola,xac,South Central Africa,ago,Angola
AIA,Anguilla,xcb,Caribbean,xcb,Caribbean
ALA,Aland Islands,fin,Finland,fin,Finland
ALB,Albania,alb,Albania,alb,Albania
AND,Andorra,xer,Rest of Europe,xer,Rest of Europe
ARE,United Arab Emirates,are,United Arab Emirates,are,United Arab Emirates
ARG,Argentina,arg,Argentina,arg,Argentina
ARM,Armenia,arm,Armenia,arm,Armenia
ASM,American Samoa,xoc,Rest of Oceania,xoc,Rest of Oceania
ATA,Antarctica,xtw,Rest of the World,xtw,Rest of the World
ATF,French Southern Territories,xtw,Rest of the World,xtw,Rest of the World
ATG,Antigua and Barbuda,xcb,Caribbean,xcb,Caribbean
AUS,Australia,aus,Australia,aus,Australia
AUT,Austria,aut,Austria,aut,Austria
AZE,Azerbaijan,aze,Azerbaijan,aze,Azerbaijan
BDI,Burundi,xec,Rest of Eastern Africa,bdi,Burundi
BEL,Belgium,bel,Belgium,bel,Belgium
BEN,Benin,ben,Benin,ben,Benin
BES,Bonaire,xcb,Caribbean,xcb,Caribbean
BFA,Burkina Faso,bfa,Burkina Faso,bfa,Burkina Faso
BGD,Bangladesh,bgd,Bangladesh,bgd,Bangladesh
BGR,Bulgaria,bgr,Bulgaria,bgr,Bulgaria
BHR,Bahrain,bhr,Bahrain,bhr,Bahrain
BHS,Bahamas,xcb,Caribbean,xcb,Caribbean
BIH,Bosnia and Herzegovina,xer,Rest of Europe,xer,Rest of Europe
BLM,Saint Barthalemy,xcb,Caribbean,xcb,Caribbean
BLR,Belarus,blr,Belarus,blr,Belarus
BLZ,Belize,xca,Rest of Central America,xca,Rest of Central America
BMU,Bermuda,xna,Rest of North America,xna,Rest of North America
BOL,Bolivia (Plurinational State of),bol,Bolivia,bol,Bolivia
BRA,Brazil,bra,Brazil,bra,Brazil
BRB,Barbados,xcb,Caribbean,xcb,Caribbean
BRN,Brunei Darussalam,brn,Brunei Darussalam,brn,Brunei Darussalam
BTN,Bhutan,xsa,Rest of South Asia,xsa,Rest of South Asia
BVT,Bouvet Island,xtw,Rest of the World,xtw,Rest of the World
BWA,Botswana,bwa,Botswana,bwa,Botswana
CAF,Central African Republic,xcf,Central Africa,xcf,Central Africa
CAN,Canada,can,Canada,can,Canada
CCK,Cocos (Keeling) Islands,aus,Australia,aus,Australia
CHE,Switzerland,che,Switzerland,che,Switzerland
CHL,Chile,chl,Chile,chl,Chile
CHN,China,chn,China,chn,China
CIV,Cote d`Ivoire,civ,Cote d'Ivoire,civ,Cote d'Ivoire
CMR,Cameroon,cmr,Cameroon,cmr,Cameroon
COD,Democratic Republic of the Congo,xac,South Central Africa,xac,South Central Africa
COG,Congo,xcf,Central Africa,xcf,Central Africa
COK,Cook Islands,xoc,Rest of Oceania,xoc,Rest of Oceania
COL,Colombia,col,Colombia,col,Colombia
COM,Comoros,xec,Rest of Eastern Africa,xec,Rest of Eastern Africa
CPV,Cabo Verde,xwf,Rest of Western Africa,xwf,Rest of Western Africa
CRI,Costa Rica,cri,Costa Rica,cri,Costa Rica
