gtap12,year,rd_investment,unit
ago,1888,0,million 2017 PPP$
ago,1889,0,million 2017 PPP$
ago,1890,0,million 2017 PPP$
ago,1891,0,million 2017 PPP$
ago,1892,0,million 2017 PPP$
ago,1893,0,million 2017 PPP$
ago,1894,0,million 2017 PPP$
ago,1895,0,million 2017 PPP$
ago,1896,0,million 2017 PPP$
ago,1897,0,million 2017 PPP$
ago,1898,0,million 2017 PPP$
ago,1899,0,million 2017 PPP$
ago,1900,0,million 2017 PPP$
ago,1901,0,million 2017 PPP$
ago,1902,0,million 2017 PPP$
ago,1903,0,million 2017 PPP$
ago,1904,0,million 2017 PPP$
ago,1905,0,million 2017 PPP$
ago,1906,0,million 2017 PPP$
ago,1907,0,million 2017 PPP$
ago,1908,0,million 2017 PPP$
ago,1909,0,million 2017 PPP$
ago,1910,0,million 2017 PPP$
ago,1911,0,million 2017 PPP$
ago,1912,0,million 2017 PPP$
ago,1913,0,million 2017 PPP$
ago,1914,0,million 2017 PPP$
ago,1915,0,million 2017 PPP$
ago,1916,0,million 2017 PPP$
ago,1917,0,million 2017 PPP$
ago,1918,0,million 2017 PPP$
ago,1919,0,million 2017 PPP$
ago,1920,0,million 2017 PPP$
ago,1921,0,million 2017 PPP$
ago,1922,0,million 2017 PPP$
ago,1923,0,million 2017 PPP$
ago,1924,0,million 2017 PPP$
ago,1925,0,million 2017 PPP$
ago,1926,0,million 2017 PPP$
ago,1927,0,million 2017 PPP$
ago,1928,0,million 2017 PPP$
ago,1929,0,million 2017 PPP$
ago,1930,0,million 2017 PPP$
ago,1931,0,million 2017 PPP$
ago,1932,0,million 2017 PPP$
ago,1933,0,million 2017 PPP$
ago,1934,0,million 2017 PPP$
ago,1935,0,million 2017 PPP$
ago,1936,0,million 2017 PPP$
ago,1937,0,million 2017 PPP$
ago,1938,0,million 2017 PPP$
ago,1939,0,million 2017 PPP$
ago,1940,0,million 2017 PPP$
ago,1941,0,million 2017 PPP$
ago,1942,0,million 2017 PPP$
ago,1943,0,million 2017 PPP$
ago,1944,0,million 2017 PPP$
ago,1945,0,million 2017 PPP$
ago,1946,0,million 2017 PPP$
ago,1947,0,million 2017 PPP$
ago,1948,0,million 2017 PPP$
ago,1949,0,million 2017 PPP$
ago,1950,0,million 2017 PPP$
ago,1951,0,million 2017 PPP$
ago,1952,0,million 2017 PPP$
ago,1953,0,million 2017 PPP$
ago,1954,0,million 2017 PPP$
ago,1955,0,million 2017 PPP$
ago,1956,0,million 2017 PPP$
ago,1957,0,million 2017 PPP$
ago,1958,0,million 2017 PPP$
ago,1959,0,million 2017 PPP$
ago,1960,0,million 2017 PPP$
ago,1961,14.7315051557699,million 2017 PPP$
ago,1962,14.7315051557699,million 2017 PPP$
ago,1963,14.7315051557699,million 2017 PPP$
ago,1964,14.7315051557699,million 2017 PPP$
ago,1965,14.7315051557699,million 2017 PPP$
ago,1966,19.8113345198284,million 2017 PPP$
ago,1967,19.8113345198284,million 2017 PPP$
ago,1968,19.8113345198284,million 2017 PPP$
ago,1969,19.8113345198284,million 2017 PPP$
ago,1970,19.8113345198284,million 2017 PPP$
ago,1971,10.9216331327259,million 2017 PPP$
ago,1972,10.9216331327259,million 2017 PPP$
ago,1973,10.9216331327259,million 2017 PPP$
ago,1974,10.9216331327259,million 2017 PPP$
ago,1975,10.9216331327259,million 2017 PPP$
ago,1976,16.2554539649874,million 2017 PPP$
ago,1977,16.2554539649874,million 2017 PPP$
ago,1978,16.2554539649874,million 2017 PPP$
ago,1979,16.2554539649874,million 2017 PPP$
ago,1980,16.2554539649874,million 2017 PPP$
ago,1981,10.9216331327259,million 2017 PPP$
ago,1982,10.9740623808688,million 2017 PPP$
ago,1983,11.2586111892871,million 2017 PPP$
ago,1984,11.7040564149889,million 2017 PPP$
ago,1985,11.4915458528865,million 2017 PPP$
ago,1986,11.926205333327,million 2017 PPP$
ago,1987,11.7722250332566,million 2017 PPP$
ago,1988,12.977650601107,million 2017 PPP$
ago,1989,14.1459502316202,million 2017 PPP$
ago,1990,13.4906061927973,million 2017 PPP$
ago,1991,16.2347800632969,million 2017 PPP$
ago,1992,12.6118135146604,million 2017 PPP$
ago,1993,10.8609069707262,million 2017 PPP$
ago,1994,10.2534498389796,million 2017 PPP$
ago,1995,10.5622565162941,million 2017 PPP$
ago,1996,11.3577378434205,million 2017 PPP$
ago,1997,12.3199120050937,million 2017 PPP$
ago,1998,14.7772909168847,million 2017 PPP$
ago,1999,12.1260704082495,million 2017 PPP$
ago,2000,12.9138141318865,million 2017 PPP$
ago,2001,15.0503806735763,million 2017 PPP$
ago,2002,14.6996230047112,million 2017 PPP$
ago,2003,15.6127992334501,million 2017 PPP$
ago,2004,16.540408029416,million 2017 PPP$
ago,2005,17.2389167600975,million 2017 PPP$
ago,2006,17.8481007221979,million 2017 PPP$
ago,2007,19.8033182855203,million 2017 PPP$
ago,2008,20.6639533132749,million 2017 PPP$
ago,2009,25.3133465577724,million 2017 PPP$
ago,2010,26.224010792106,million 2017 PPP$
ago,2011,27.8169893836314,million 2017 PPP$
ago,2012,25.1952311994244,million 2017 PPP$
ago,2013,31.4789794950286,million 2017 PPP$
ago,2014,30.2736089922987,million 2017 PPP$
ago,2015,33.0557250841995,million 2017 PPP$
ago,2016,34.3333806499878,million 2017 PPP$
ago,2017,34.5384978896968,million 2017 PPP$
ago,2018,33.698130086246,million 2017 PPP$
ago,2019,33.6501618393167,million 2017 PPP$
ago,2020,35.8879507406881,million 2017 PPP$
ago,2021,37.7786901140803,million 2017 PPP$
ago,2022,41.3136045254592,million 2017 PPP$
alb,1888,0,million 2017 PPP$
alb,1889,0,million 2017 PPP$
alb,1890,0,million 2017 PPP$
alb,1891,0,million 2017 PPP$
alb,1892,0,million 2017 PPP$
alb,1893,0,million 2017 PPP$
alb,1894,0,million 2017 PPP$
