gtap12,year,rd_stock,unit
ago,2004,95.13308050658713,million 2017 PPP$
ago,2005,98.25295799427677,million 2017 PPP$
ago,2006,101.95335354539459,million 2017 PPP$
ago,2007,106.05192891158723,million 2017 PPP$
ago,2008,110.85491613776098,million 2017 PPP$
ago,2009,116.43036735574057,million 2017 PPP$
ago,2010,123.24741342115077,million 2017 PPP$
ago,2011,131.64699813127382,million 2017 PPP$
ago,2012,141.42869924981682,million 2017 PPP$
ago,2013,151.72168185206107,million 2017 PPP$
ago,2014,162.14504309990915,million 2017 PPP$
ago,2015,172.80798038799955,million 2017 PPP$
ago,2016,183.5541741925298,million 2017 PPP$
ago,2017,194.3641784506618,million 2017 PPP$
ago,2018,205.08496430674566,million 2017 PPP$
ago,2019,215.06708462051705,million 2017 PPP$
ago,2020,223.76607881591255,million 2017 PPP$
ago,2021,231.24854376048359,million 2017 PPP$
ago,2022,238.16421146245878,million 2017 PPP$
alb,2004,0,million 2017 PPP$
alb,2005,0,million 2017 PPP$
alb,2006,0,million 2017 PPP$
alb,2007,0,million 2017 PPP$
alb,2008,0,million 2017 PPP$
alb,2009,0,million 2017 PPP$
alb,2010,0,million 2017 PPP$
alb,2011,0,million 2017 PPP$
alb,2012,0,million 2017 PPP$
alb,2013,0,million 2017 PPP$
alb,2014,0,million 2017 PPP$
alb,2015,0,million 2017 PPP$
alb,2016,0,million 2017 PPP$
alb,2017,0,million 2017 PPP$
alb,2018,0,million 2017 PPP$
alb,2019,0,million 2017 PPP$
alb,2020,0,million 2017 PPP$
alb,2021,0,million 2017 PPP$
alb,2022,0,million 2017 PPP$
are,2004,64.0138953643043,million 2017 PPP$
are,2005,67.0038289467316,million 2017 PPP$
are,2006,68.91774204651617,million 2017 PPP$
are,2007,69.53178452272697,million 2017 PPP$
are,2008,68.8431776893433,million 2017 PPP$
are,2009,67.04203505336434,million 2017 PPP$
are,2010,64.53709484497267,million 2017 PPP$
are,2011,61.73487624585923,million 2017 PPP$
are,2012,58.81551915818261,million 2017 PPP$
are,2013,55.895069998905356,million 2017 PPP$
are,2014,53.18529596932292,million 2017 PPP$
are,2015,50.89282481072871,million 2017 PPP$
are,2016,49.294742623064074,million 2017 PPP$
are,2017,48.62659814060843,million 2017 PPP$
are,2018,48.87485040987241,million 2017 PPP$
are,2019,49.79679183179493,million 2017 PPP$
are,2020,51.1227129494889,million 2017 PPP$
are,2021,52.85233726593201,million 2017 PPP$
are,2022,55.01521634755134,million 2017 PPP$
arg,2004,5655.44556153973,million 2017 PPP$
arg,2005,5708.644945969997,million 2017 PPP$
arg,2006,5728.303171566934,million 2017 PPP$
arg,2007,5715.962899424225,million 2017 PPP$
arg,2008,5674.444350515908,million 2017 PPP$
arg,2009,5610.083277701374,million 2017 PPP$
arg,2010,5546.155377475675,million 2017 PPP$
arg,2011,5499.555997489082,million 2017 PPP$
arg,2012,5507.893296582161,million 2017 PPP$
arg,2013,5580.277475724092,million 2017 PPP$
arg,2014,5723.315863046956,million 2017 PPP$
arg,2015,5932.201253538168,million 2017 PPP$
arg,2016,6184.20949528111,million 2017 PPP$
arg,2017,6465.760213088076,million 2017 PPP$
arg,2018,6762.865486698142,million 2017 PPP$
arg,2019,7052.311873881178,million 2017 PPP$
arg,2020,7326.2586041519735,million 2017 PPP$
arg,2021,7571.742151486839,million 2017 PPP$
arg,2022,7771.143873351661,million 2017 PPP$
